Shuffle 1,,,Shuffle 2,,,Shuffle 3,,,Shuffle 4,,
Fearless,LE SSERAFIM,K-pop Pop,Bleeding Love,Leona Lewis,Pop,In Christ Alone,Keith & Kristyn Getty,Christian Worship,Love On The Brain,Rihanna,Soul Pop
Drama,AESPA,K-pop Hip-Hop,I Don't Want to Miss a Thing,Aerosmith,Rock Ballad,King of My Heart,Bethel Music,Christian Worship,Hanging On,Ellie Goulding,Electropop
Dun Dun,EVERGLOW,K-pop EDM,Unchained Melody,The Righteous Brothers,Classic Pop,Gratitude,Brandon Lake,Christian Worship,Million Reasons,Lady Gaga,Pop Ballad
Not Shy,ITZY,K-pop Pop,Make You Feel My Love,Adele,Pop,Faithful Now,Vertical Worship,Christian Worship,Will He,Joji,Indie R&B
Uh-Oh,(G)I-DLE,K-pop Hip-Hop,The Night We Met,Lord Huron,Indie Folk,Good Good Father,Chris Tomlin,Christian Worship,Always Remember Us This Way,Lady Gaga,Pop Ballad
Savage,AESPA,K-pop Hyperpop,Hold Back The River,James Bay,Indie Rock,Living Hope,Phil Wickham,Christian Worship,Heaven,Bryan Adams,Rock Ballad
Power,Little Mix,Pop EDM,Lay Me Down,Sam Smith,Soul,From the Inside Out,Hillsong UNITED,Christian Worship,Break Your Heart,Taio Cruz,Pop Dance
Joan of Arc,Little Mix,Pop Trap,Only Love,Ben Howard,Indie Folk,No Longer Slaves,Bethel Music,Christian Worship,Domino,Jessie J,Pop Dance
Stamp on It,Got The Beat,K-pop EDM,Perfect,Ed Sheeran,Pop,Break Every Chain,Jesus Culture,Christian Worship,Super Far,LANY,Indie Pop
Snapping,Chungha,K-pop Pop,Too Good At Goodbyes,Sam Smith,Soul,This I Believe (The Creed),Hillsong Worship,Christian Worship,Atlantis,Seafret,Indie
Woman Like Me,Little Mix,Pop R&B,Happier,Ed Sheeran,Pop,Here With Me,Marian Grace,Christian Worship,Give Me Your Forever,Zack Tabudlo,Indie Pop
Crazy,4MINUTE,K-pop Girl Crush,Heaven,Bryan Adams,Rock Ballad,At the Cross (Love Ran Red),Chris Tomlin,Christian Worship,Lover Is a Day,CUCO,Indie Bedroom
Hate,4MINUTE,K-pop Hip-Hop,Because You Loved Me,Celine Dion,Pop,Yahweh,Hillsong Worship,Christian Worship,Telephones,Vacations,Indie Rock
Boss,NCT U,K-pop Hip-Hop,Invisible String,Taylor Swift,Folk Pop,As It Is (In Heaven),Hillsong Worship,Christian Worship,Young,Vacations,Indie Pop
God’s Menu,Stray Kids,K-pop Experimental Hip-Hop,Back To December,Taylor Swift,Pop,Take All of Me,Hillsong UNITED,Christian Worship,Honey,Coastal Club,Indie Pop
